width:512;height:512
eyes1;86,40,90,42
eyes2;45,192,90,25
nose;120,78,22,19
mouth1;90,96,81,29
mouth2;66,221,64,29
mouth3;67,175,64,16
mouth4;198,179,61,26
mouth5;137,174,60,17
rhead1;19,21,62,55
rhead2;19,77,66,59
rhead3;0,20,19,91
lhead1;180,16,69,56
lhead2;176,74,72,60
lhead3;248,30,16,88
headoff1;137,193,56,58
headoff2;196,209,69,44
neck;1,138,264,35
pelvis;265,0,167,26
rleg1;281,30,58,42
rleg2;264,79,82,20
rleg3;266,120,80,30
rleg4;265,182,80,27
lleg1;357,30,59,42
lleg2;351,79,81,20
lleg3;351,120,80,30
lleg4;352,182,80,27
rfoot1;436,1,49,70
rfoot2;438,77,70,26
lfoot1;462,106,49,70
lfoot2;438,180,70,27
chest;56,257,96,140
back;222,261,119,136
larmoff;0,257,51,69
side1;0,332,53,63
rarmoff;155,261,65,66
side2;157,332,63,63
middle;0,400,345,15
larm1;0,421,13,60
larm2;19,426,60,52
larm3;95,427,10,53
larm4;110,424,39,37
larm5;117,463,34,30
larm6;0,480,32,32
larm7;37,483,27,28
larm8;93,482,26,28
rarm1;173,421,13,60
rarm2;191,426,61,52
rarm3;268,427,10,53
rarm4;283,424,39,37
rarm5;291,463,33,29
rarm6;173,480,32,32
rarm7;210,483,27,27
rarm8;266,482,26,28
